date,weekday,n1,n2,n3,n4,n5,e1,e2
2012-03-23,Friday,5,8,21,37,46,6,8
2012-03-30,Friday,5,7,12,19,26,1,5
2012-04-06,Friday,7,8,34,36,38,4,5
2012-04-13,Friday,5,11,12,27,32,1,3
2012-04-20,Friday,10,16,30,41,45,2,8
2012-04-27,Friday,10,13,19,40,45,3,5
2012-05-04,Friday,29,30,35,41,45,3,5
2012-05-11,Friday,15,21,38,39,47,1,5
2012-05-18,Friday,12,18,43,44,46,4,5
2012-05-25,Friday,4,11,26,32,41,5,7
2012-06-01,Friday,11,28,34,37,38,3,7
2012-06-08,Friday,10,15,16,36,44,7,8
2012-06-15,Friday,6,10,17,18,42,1,3
2012-06-22,Friday,13,14,16,47,49,1,7
2012-06-29,Friday,5,8,19,33,36,2,3
2012-07-06,Friday,10,22,24,33,38,2,6
2012-07-13,Friday,8,12,27,31,37,3,6
2012-07-20,Friday,6,9,13,14,25,1,8
2012-07-27,Friday,9,22,23,34,35,1,3
2012-08-03,Friday,12,15,18,24,25,4,5
2012-08-10,Friday,6,11,40,46,48,3,6
2012-08-17,Friday,3,16,30,34,35,2,5
2012-08-24,Friday,9,20,21,33,49,5,7
2012-08-31,Friday,8,22,28,40,42,4,8
2012-09-07,Friday,15,23,25,46,49,2,4
2012-09-14,Friday,10,14,15,24,47,4,8
2012-09-21,Friday,18,29,41,44,49,1,5
2012-09-28,Friday,5,14,16,34,39,1,6
2012-10-05,Friday,26,28,40,49,50,2,7
2012-10-12,Friday,6,11,17,43,49,4,8
2012-10-19,Friday,6,14,18,19,48,3,8
2012-10-26,Friday,7,17,18,19,22,4,5
2012-11-02,Friday,3,5,7,12,31,5,7
2012-11-09,Friday,25,29,38,41,44,3,8
2012-11-16,Friday,1,4,7,21,26,4,7
2012-11-23,Friday,1,21,32,36,50,2,5
2012-11-30,Friday,2,13,21,24,37,6,7
2012-12-07,Friday,13,20,22,27,42,3,5
2012-12-14,Friday,17,28,31,35,39,5,8
2012-12-21,Friday,11,20,24,25,35,4,8
2012-12-28,Friday,5,8,22,32,39,7,8
2013-01-04,Friday,6,20,29,40,45,5,8
2013-01-11,Friday,6,31,37,41,49,2,3
2013-01-18,Friday,9,13,21,28,45,6,7
2013-01-25,Friday,4,13,28,37,38,7,8
2013-02-01,Friday,2,4,14,26,29,6,7
2013-02-08,Friday,12,14,17,27,43,1,7
2013-02-15,Friday,4,9,26,32,40,3,5
2013-02-22,Friday,3,13,41,46,49,3,8
2013-03-01,Friday,19,28,29,34,44,1,5
2013-03-08,Friday,10,12,14,30,43,2,5
2013-03-15,Friday,4,30,32,41,50,5,7
2013-03-22,Friday,5,12,21,43,48,5,6
2013-03-29,Friday,1,22,27,37,50,5,7
2013-04-05,Friday,22,31,37,38,41,2,6
2013-04-12,Friday,8,19,22,32,40,1,8
2013-04-19,Friday,17,18,22,24,25,1,6
2013-04-26,Friday,11,14,19,23,49,4,5
2013-05-03,Friday,14,16,28,44,48,3,7
2013-05-10,Friday,6,9,31,33,35,1,7
2013-05-17,Friday,4,6,10,13,32,1,8
2013-05-24,Friday,2,4,9,20,41,3,5
2013-05-31,Friday,5,9,12,23,40,2,7
2013-06-07,Friday,6,9,11,29,35,2,6
2013-06-14,Friday,1,25,46,47,48,3,8
2013-06-21,Friday,5,14,21,23,50,2,7
2013-06-28,Friday,6,8,23,33,49,3,8
2013-07-05,Friday,15,16,17,19,50,5,7
2013-07-12,Friday,7,27,33,47,48,2,7
2013-07-19,Friday,7,18,19,33,37,2,5
2013-07-26,Friday,4,13,19,25,43,3,4
2013-08-02,Friday,14,23,29,33,37,2,5
2013-08-09,Friday,7,26,32,34,49,1,6
2013-08-16,Friday,5,32,33,38,49,3,8
2013-08-23,Friday,4,10,25,30,47,2,3
2013-08-30,Friday,6,9,10,17,43,2,8
2013-09-06,Friday,3,7,20,32,44,4,5
2013-09-13,Friday,3,10,18,31,43,1,7
2013-09-20,Friday,2,6,15,18,24,5,7
2013-09-27,Friday,6,10,21,34,36,1,4
2013-10-04,Friday,1,7,16,21,48,1,8
2013-10-11,Friday,2,11,23,29,34,7,8
2013-10-18,Friday,7,22,24,25,41,1,3
2013-10-25,Friday,9,25,39,41,46,2,8
2013-11-01,Friday,7,10,13,26,27,5,8
2013-11-08,Friday,18,25,28,34,42,3,4
2013-11-15,Friday,3,19,32,43,48,4,8
2013-11-22,Friday,1,38,39,42,47,1,2
2013-11-29,Friday,17,25,32,35,45,4,7
2013-12-06,Friday,1,8,18,25,47,2,7
2013-12-13,Friday,9,19,24,28,49,2,8
2013-12-20,Friday,9,12,22,37,40,6,8
2013-12-27,Friday,2,15,33,40,43,3,7
2014-01-03,Friday,1,16,34,36,37,4,6
2014-01-10,Friday,8,18,22,33,40,2,8
2014-01-17,Friday,4,7,17,25,29,2,4
2014-01-24,Friday,4,28,30,36,46,3,7
2014-01-31,Friday,12,17,29,39,40,5,6
2014-02-07,Friday,16,18,20,36,49,3,4
2014-02-14,Friday,19,21,22,28,45,6,7
2014-02-21,Friday,2,4,21,30,41,7,8
2014-02-28,Friday,2,17,21,22,45,1,5
2014-03-07,Friday,7,14,15,20,39,1,8
2014-03-14,Friday,6,7,9,13,30,4,7
2014-03-21,Friday,8,18,35,38,42,4,6
2014-03-28,Friday,10,32,35,38,45,4,5
2014-04-04,Friday,10,16,28,30,33,4,6
2014-04-11,Friday,1,7,14,22,44,1,2
2014-04-18,Friday,12,32,40,44,49,2,3
2014-04-25,Friday,4,7,10,39,48,3,4
2014-05-02,Friday,9,31,32,33,34,6,8
2014-05-09,Friday,1,11,14,22,43,3,4
2014-05-16,Friday,9,28,36,42,43,2,8
2014-05-23,Friday,6,21,33,37,47,7,8
2014-05-30,Friday,7,17,25,26,35,4,7
2014-06-06,Friday,6,9,19,37,38,4,8
2014-06-13,Friday,1,8,15,18,39,1,6
2014-06-20,Friday,6,10,23,33,41,6,8
2014-06-27,Friday,11,33,35,42,44,4,6
2014-07-04,Friday,3,10,11,13,42,1,8
2014-07-11,Friday,3,10,16,35,45,4,6
2014-07-18,Friday,6,11,15,18,45,5,8
2014-07-25,Friday,3,10,36,43,47,2,5
2014-08-01,Friday,5,18,33,38,47,3,6
2014-08-08,Friday,15,19,21,34,40,3,4
2014-08-15,Friday,17,38,41,43,47,4,6
2014-08-22,Friday,19,20,40,42,47,2,8
2014-08-29,Friday,1,8,9,12,37,2,6
2014-09-05,Friday,26,31,33,39,40,5,6
2014-09-12,Friday,2,9,17,25,29,3,5
2014-09-19,Friday,13,18,20,38,39,1,8
2014-09-26,Friday,8,26,32,44,50,4,7
2014-10-03,Friday,8,15,34,44,49,4,8
2014-10-10,Friday,11,17,20,22,29,4,6
2014-10-17,Friday,14,24,27,35,39,7,8
2014-10-24,Friday,3,15,22,26,37,2,4
2014-10-31,Friday,3,7,27,43,46,3,8
2014-11-07,Friday,5,13,25,33,35,4,8
2014-11-14,Friday,22,25,41,45,49,2,5
2014-11-21,Friday,4,18,35,41,43,4,5
2014-11-28,Friday,6,16,18,29,35,6,9
2014-12-05,Friday,11,25,32,42,47,4,9
2014-12-12,Friday,1,8,15,19,37,7,9
2014-12-19,Friday,10,11,25,32,49,5,9
2014-12-26,Friday,2,21,30,39,43,5,7
2015-01-02,Friday,16,29,38,42,48,5,6
2015-01-09,Friday,13,19,20,27,41,5,9
2015-01-16,Friday,1,4,14,32,48,5,6
2015-01-23,Friday,2,13,14,30,32,1,3
2015-01-30,Friday,3,4,8,11,41,2,8
2015-02-06,Friday,3,19,22,37,39,5,10
2015-02-13,Friday,3,7,14,46,48,6,9
2015-02-20,Friday,1,16,18,29,44,2,7
2015-02-27,Friday,9,28,30,43,49,8,10
2015-03-06,Friday,9,16,17,20,32,2,3
2015-03-13,Friday,1,10,25,39,44,1,2
2015-03-20,Friday,9,11,13,35,38,5,7
2015-03-27,Friday,3,26,31,33,50,3,9
2015-04-03,Friday,5,34,37,43,48,2,4
2015-04-10,Friday,1,18,26,40,47,3,4
2015-04-17,Friday,5,6,13,20,33,3,8
2015-04-24,Friday,4,17,27,33,46,3,9
2015-05-01,Friday,8,24,25,30,50,4,6
