number,count,percent_of_draws
20,115,11.75
17,112,11.44
34,111,11.34
35,111,11.34
21,110,11.24
11,109,11.13
16,108,11.03
18,107,10.93
49,106,10.83
41,106,10.83
1,105,10.73
23,105,10.73
8,104,10.62
30,103,10.52
13,103,10.52
39,103,10.52
37,101,10.32
14,100,10.21
7,100,10.21
9,100,10.21
46,100,10.21
45,99,10.11
19,99,10.11
15,99,10.11
6,99,10.11
38,98,10.01
4,97,9.91
43,96,9.81
22,96,9.81
29,96,9.81
12,96,9.81
47,95,9.7
40,95,9.7
3,94,9.6
31,93,9.5
32,93,9.5
2,93,9.5
44,93,9.5
33,92,9.4
10,91,9.3
42,91,9.3
24,89,9.09
26,89,9.09
27,87,8.89
5,86,8.78
25,86,8.78
28,86,8.78
36,85,8.68
50,85,8.68
48,78,7.97
